IdTable,NomColonne,TypeDonnee,TypeCle,Description
1,ID_PRESTATION,INT,PK,Identifiant unique de la prestation
1,DATE_ID,INT,FK,Référence vers DIM_DATE (format YYYYMMDD)
1,ASSURE_ID,INT,FK,Référence vers DIM_ASSURE
1,TYPE_PRESTATION,VARCHAR,,Code type de prestation (MAL/MAT/INV/DCD)
1,MONTANT_VERSE,DECIMAL,,Montant versé en euros
1,DUREE_JOURS,INT,,Durée de la prestation en jours calendaires
1,NB_ACTES,INT,,Nombre d'actes couverts
2,ASSURE_ID,INT,PK,Identifiant unique de l'assuré
2,MATRICULE,VARCHAR,,Numéro de sécurité sociale (NIR)
2,NOM,NVARCHAR,,Nom de famille
2,PRENOM,NVARCHAR,,Prénom
2,DATE_NAISSANCE,DATE,,Date de naissance
2,DATE_AFFILIATION,DATE,,Date d'entrée dans le régime
2,CATEGORIE,VARCHAR,,Catégorie d'assuré (Actif/Retraité/Ayant-droit)
3,ID_COTISATION,INT,PK,Identifiant unique de la ligne de cotisation
3,DATE_ID,INT,FK,Référence vers DIM_DATE
3,ASSURE_ID,INT,FK,Référence vers DIM_ASSURE
3,EMPLOYEUR_ID,INT,FK,Référence vers DIM_EMPLOYEUR
3,MONTANT_PATRONAL,DECIMAL,,Part patronale de la cotisation en euros
3,MONTANT_SALARIAL,DECIMAL,,Part salariale de la cotisation en euros
3,TAUX_APPLIQUE,DECIMAL,,Taux de cotisation appliqué en pourcentage
4,ID_RECOUVREMENT,INT,PK,Identifiant unique de l'action de recouvrement
4,EMPLOYEUR_ID,INT,FK,Référence vers DIM_EMPLOYEUR
4,DATE_ID,INT,FK,Référence vers DIM_DATE
4,MONTANT_DU,DECIMAL,,Montant de la créance initiale en euros
4,MONTANT_RECOUVRE,DECIMAL,,Montant effectivement recouvré en euros
4,STATUT,VARCHAR,,Statut du recouvrement (En cours/Soldé/Contentieux)
5,EMPLOYEUR_ID,INT,PK,Identifiant unique de l'employeur
5,SIRET,VARCHAR,,Numéro SIRET de l'établissement
5,RAISON_SOCIALE,NVARCHAR,,Dénomination officielle de l'entreprise
5,SECTEUR,VARCHAR,,Code NAF / secteur d'activité
5,EFFECTIF,INT,,Nombre de salariés déclarés
6,ID_SALARIE,INT,PK,Identifiant unique de la ligne salariale
6,ASSURE_ID,INT,FK,Référence vers DIM_ASSURE
6,EMPLOYEUR_ID,INT,FK,Référence vers DIM_EMPLOYEUR
6,DATE_ID,INT,FK,Référence vers DIM_DATE
6,SALAIRE_BRUT,DECIMAL,,Salaire brut mensuel déclaré en euros
6,SALAIRE_PLAFONNE,DECIMAL,,Salaire plafonné pour calcul cotisations
